,0
勉強することにします。,我決定要念書。
母の日のプレゼントはスマホにしました。,我已經決定母親節禮物送智慧型手機。
危ない気がする。,覺得有危險。（抽象：傳來危險的訊息）
夏は暑いと感じる。,感覺到夏天很熱。
この前もこの場面があったような気がする。,感覺之前也有出現過這種場面。
嫌な予感があります。,有不好的預感。（沒有感應、感覺的意思。）
私は映画についても興味があります。,關於電影我也很有興趣。
その件については、お答えいたしかねます。,就這件事情，恕我無法回答。（其他的話可以回答的意思）
警察の発表によると、15 人が死亡したということだ。,警方表示有15人死亡。
台風がひどくなる前に帰りました。,趁颱風變強之前趕緊回家了。
私は教師になりたいです。,我想當老師。
私はもうすぐ20歳になります。,我就快滿20歲了。
荷物を軽くします。,減輕行李重量。
当日はあいにくの雨で、調査現場の見学は中止になりました。,那天不巧下雨，調查現場的參觀中止了。
雨がやまないので、練習は午後からにします。,由於雨下不停，因此決定下午再練習。
このビルの高さは509メートルです。,這棟大樓的高度有509公尺。
ポケモンのゲームが、北投公園の賑やかさを思い出させた。,精靈寶可夢讓我想起了北投公園的熱鬧。
赤ちゃんが暑がっている時のサインはわかりますか？,當嬰兒覺得很熱的時候，你知道他們所發出信號嗎？
彼女は海を見たがっています。,她想看海。
行きたい人は誰でも連れて行きます。,想去的人不管是誰我都會帶去。
あなたはゲームをやりたいですか。,你想玩遊戲嗎？
あなたは寂しそうだ。,你好像很寂寞。
あなたが寂しがるのが怖い。,我很怕你寂寞。
あなたは寂しがっています。,你感到寂寞。
人間は幽霊を怖がる。,人都怕鬼。（一般客觀事實描述，通常的情況）
嫌いなら（ば）、やらなくてもいい。五變假定形,討厭的話可以不做。（「ば」可省略）
大雨が降ると、道路が浸水している。,一下大雨，道路就會淹水。
家に帰ると、電話が鳴りました。,一回到家，電話就響了起來。
朝起きると、頭が痛くなる。,早上一起來頭就會痛。 個人習慣
お金があれば幸せになれますか。,有錢的話就能變得幸福嗎？
朝起きれば、頭が痛くなる。,早上一起來頭就會痛。個人習慣
この本を読み終わったら、返してね。,這本書如果看完了，請還給我。
家に帰ったら誰もいなかった。,回到家之後，發現沒人在家。
ご飯を食べるなら、手を洗ってください。,要吃飯的話，請先洗手。
ご飯を食べ終わったら、お皿を洗ってください。,飯吃完的話，請洗碗。
昨日安かったなら、今日も安いでしょう。,昨天賣得這麼便宜，今天一定也很便宜吧！
私は息子を日本に行かせます。,我要兒子去日本。
僕は満点を取って、両親を喜ばせました。,我考滿分讓父母高興。
母は弟をアメリカへ留学させました。,媽媽允許弟弟去美國留學。
先生は学生に本を読ませました。,老師讓學生讀書。
母は子供を遊ばせています。,媽媽放任孩子玩。
私は先生に褒められました。,我被老師誇獎。
先生は私を褒めました。,老師誇獎我。（不可用に）
私は赤ん坊に泣かれて，眠れなかった。,我被孩子哭鬧，沒辦法睡覺。
私は刺身が食べられます。[他動詞],我能吃生魚片。
意気込みが感じられます。,我感到幹勁十足。→ 自然地流露出
例の件ですが、もう決められましたか。,關於那件事，您已經決定了嗎？
泣きそうにもない。,一點也沒有要哭的樣子。
そのかばんは重くなさそうだ。,那包包好像不重。
この問題は複雑ではなさそうだ。,這個問題好像不複雜。
雨は降りそうにない。（動詞否定：V2＋そうにない）,好像沒有要下雨的樣子。
彼は私が言っていることに興味を持っていないようだ。（否定）,他好像對我所說的話不感興趣。
先生は厳しくないようだ。（否定）,老師好像不會很嚴格。
その町はあまり賑やかではないようだ。（否定）,那個城鎮好像不怎麼熱鬧。
あの人は先生ではないようだ。（否定）,那個人好像不是老師。
彼はお前が思っているような人ではない。,他可不是你想的那種人。
彼はまるでアメリカ人のように英語を流暢に話す。,他簡直像美國人一樣說著流利的英文。
トイレを掃除するような仕事は嫌です。,我不要做打掃廁所這類的工作。
犬や猫のような動物が好きです。,喜歡像貓、狗這類的動物。
私は会社に車をもらいました。,（錯誤）對象非人物，不可用に。
秋くんは冬くんに本を送ってあげた。,小秋送了小冬一本書。
秋くんはＡ社の社長さんを車で送ってさしあげました。,小秋開車送Ａ社老闆回去。
夏ちゃんは妹にレシピを買ってくれた。,小夏買了食譜給我妹。
課長は妹に書類をコピーしてくださいました。,課長幫我妹印資料
夏ちゃんは冬くんにポスターを貼ってもらった。,小夏請小冬幫她貼海報。
妹は課長に書類をコピーしていただきました。,我妹承蒙課長印資料給她。
私はあなたに会うためにここに来ました。,我為了見你來到了這裡。
何のためにここへ来たのか。,你是為了什麼而來到這裡的？
バスが遅れたために、遅刻しました。,由於公車來遲了，所以遲到了。
午後の会議のために、いったん会社に戻ります。,由於下午有會議，要回公司一趟。
そこで諦めちゃだめだよ。,不可以在這時候放棄呀！（≒このときに）
